"location","total_listings","avg_price_per_sqft","total_2_bhk","total_3_bhk","total_commercial_spaces"
"Ballygunge Kolkata","200","11780","0","0","100"
"Batanagar Kolkata","200","5578","100","100","0"
"Kankurgachi Kolkata","100","14925","0","0","100"
"Rajarhat Kolkata","100","14035","100","0","0"
"Multicon Estelle","100","13958","0","100","0"
"Classic Tower","100","13393","100","0","0"
"Sugam Morya","100","12865","0","0","0"
"Urban Heights","100","10073","0","100","0"
"Golf Towers","100","9965","100","0","0"
"Meena Florence","100","9585","0","0","100"
"Baguiati Kolkata","100","8000","0","100","0"
"Buroshibtalla","100","7867","0","0","0"
"Parnasree Palli Kolkata","100","7822","100","0","0"
"Behala Kolkata","100","7500","0","100","0"
"Koyla Vihar Vasundhara","100","7500","0","100","0"
"Bangur Avenue","100","6364","0","0","0"
"Regent Park Kolkata","100","6095","100","0","0"
"Greenfield City Classic Premium","100","5882","0","100","0"
"Mukundapur Kolkata","100","5515","0","0","0"
"Golpark Cooperative Housing Society","100","5102","100","0","0"
"Behala Chowrasta Kolkata","100","4861","0","100","0"
"Thakurpukur Kolkata","100","4630","0","0","0"
"Haridevpur","100","4623","0","0","0"
"Parvati Garden","100","4539","100","0","0"
"Lake Town Kolkata","100","4526","0","100","0"
"Shyam Vihar Phase 2","100","4471","100","0","0"
"Motilal Gupta Road Kolkata","100","2727","0","100","0"
"Vip Road Kolkata","77","9483","0","0","77"
"Shyam Vihar","23","6802","0","23","0"
