"property_name","location","property_type","actual_area","average_area_for_type","price_inr"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
"2 BHK Apartment for Sale in Rajarhat Kolkata","Rajarhat Kolkata","2 BHK Apartment","1140","823","16000000.00"
