"property_type","total_properties","avg_area_sqft","avg_price_inr","avg_price_per_sqft"
"3 BHK Apartment","1023","1080","8156500","7010"
"2 BHK Apartment","900","823","7033333","7940"
"3 BHK House","200","1827","8450000","4626"
"Shop","177","470","4483051","9541"
"5 BHK House","100","2142","14500000","6769"
"4 BHK Apartment","100","1850","23800000","12865"
"6 BHK House","100","4400","28000000","6364"
"2 BHK Builder Floor","100","750","5900000","7867"
"Showroom","100","1675","25000000","14925"
"Office Space","100","268","4500000","16791"
"1 BHK Apartment","100","272","1500000","5515"
