"property_name","location","property_type","price_inr","area_sqft","property_price_per_sqft","neighborhood_avg_price_per_sqft","neighborhood_avg_area","sqft_discount_amount"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
"5 BHK House for Sale in Ballygunge Kolkata","Ballygunge Kolkata","5 BHK House","14500000.00","2142","6769","11780","1205","5011"
